logged_at,time_s,temperature_c,humidity_pct,pressure_hpa
2026-03-27T13:34:42,273,22.22,31.16,920.71
2026-03-27T13:34:44,275,22.23,31.13,920.71
2026-03-27T13:34:46,277,22.23,31.13,920.71
2026-03-27T13:34:48,279,22.23,31.12,920.71
2026-03-27T13:34:50,281,22.23,31.08,920.68
2026-03-27T13:34:52,283,22.23,31.04,920.71
2026-03-27T13:34:54,285,22.23,31.07,920.70
2026-03-27T13:34:56,287,22.30,41.21,920.72
2026-03-27T13:34:58,289,22.32,41.41,920.68
2026-03-27T13:35:00,291,22.31,36.46,920.69
2026-03-27T13:35:02,293,22.32,34.89,920.68
2026-03-27T13:35:04,295,22.34,35.87,920.67
2026-03-27T13:35:06,297,22.35,36.19,920.69
2026-03-27T13:35:08,299,22.36,35.78,920.69
2026-03-27T13:35:10,301,22.37,35.56,920.71
2026-03-27T13:35:12,303,22.39,35.23,920.67
2026-03-27T13:35:14,305,22.40,34.48,920.71
2026-03-27T13:35:16,307,22.40,33.62,920.67
2026-03-27T13:35:18,309,22.41,33.32,920.70
2026-03-27T13:35:20,311,22.40,32.61,920.67
2026-03-27T13:35:22,313,22.40,32.21,920.70
